,director,films_count,popularity
650,Geoffrey Sax,2,15.3653425
1284,Mary Lambert,2,10.498619499999998
956,John Herzfeld,2,14.049295
1005,Jon Lucas,2,39.0171615
1260,Mark Osborne,2,60.03703549999999
1154,Larry Clark,2,9.984541999999998
1240,Marco Kreuzpaintner,2,7.1790605
681,Glen Morgan,2,2.7284275
1222,Léa Pool,2,1.0417325
1267,Mark Steven Johnson,2,28.962479000000002
1658,Rob Letterman,2,34.09838
1264,Mark Rosman,2,18.220113
1255,Mark Herman,2,19.734385000000003
1077,Karan Johar,2,8.983394500000001
940,John Curran,2,16.596054000000002
1478,Oren Peli,2,27.6254115
1263,Mark Romanek,2,25.8041465
1079,Karey Kirkpatrick,2,24.333717
676,Gillian Armstrong,2,8.279011500000001
1500,Paul Andrew Williams,2,5.7287675
958,John Huston,2,4.0773255
674,Gil Kenan,2,29.917189
935,John Carney,2,27.393934
1146,Kurt Wimmer,2,30.2309745
948,John G. Avildsen,2,50.327326
1496,Patrick Stettner,2,4.271354
693,Gregor Jordan,2,6.3317705
673,Gil Junger,2,35.232029
923,Joel Paul Reisig,2,0.1299365
991,John Wells,2,25.519398000000002
1083,Kasi Lemmons,2,5.951403
925,Joel Zwick,2,12.6366005
1082,Karyn Kusama,2,31.105858
1248,Mario Van Peebles,2,1.7707110000000001
1389,Mike Mills,2,8.345537
1381,Mike Figgis,2,12.4487255
929,John A. Davis,2,16.489390999999998
662,George Roy Hill,2,26.5004545
1382,Mike Flanagan,2,21.0999565
1245,Marcus Raboy,2,4.6142275
1002,Jon Hurwitz,2,33.0698165
1614,Rian Johnson,2,28.2979675
1632,Richard Kwietniowski,2,4.489689500000001
1464,Norton Virgien,2,8.118412
1120,Kevin Munroe,2,14.504703
1574,Philip Kaufman,2,12.414264000000001
1110,Kevin Bray,2,14.270328
1578,Phyllida Lloyd,2,27.079499499999997
1447,Nick Park,2,31.084888
1091,Katsuhiro Ōtomo,2,24.2339525
1045,Josh Gordon,2,23.4530325
807,James Marsh,2,37.75716150000001
1445,Nick Love,2,5.9809725
874,Jeremy Saulnier,2,27.675391
1465,Ol Parker,2,11.621212500000002
1345,Michael Mayer,2,4.26356
1579,Pierre Coffin,2,125.3724885
1370,Mick Jackson,2,23.2062545
1047,Josh Trank,2,51.315421
976,John Polson,2,11.5364945
1583,Preston A. Whitmore II,2,2.795402
1542,Peter Hedges,2,10.332524
814,James Toback,2,5.1021465
852,Jean-Luc Godard,2,4.452345
816,James Watkins,2,32.018782
1349,Michael O. Sajbel,2,4.2265965
1114,Kevin Greutert,2,34.0172175
1118,Kevin Lima,2,19.5575205
1406,Morgan J. Freeman,2,0.7403379999999999
1358,Michael Schultz,2,2.8244339999999992
1559,Peter Sollett,2,14.3185185
1561,Peter Webber,2,13.255772
1354,Michael Radford,2,7.658581
964,John Luessenhop,2,22.4847225
1453,Nigel Cole,2,12.675677
989,John Turturro,2,2.0840435
828,Jared Hess,2,19.1227845
1568,Phil Joanou,2,11.0504475
1199,Lone Scherfig,2,16.8097405
1038,Joseph Kahn,2,8.892694499999998
820,Jamie Blanks,2,9.0315675
819,Jamie Babbit,2,4.462004
1039,Joseph Kosinski,2,70.746527
872,Jennifer Yuh Nelson,2,53.9976495
1589,Rachel Talalay,2,12.5215835
1437,Nicholas Meyer,2,19.311337
743,Howard Zieff,2,16.5617745
886,Jessie Nelson,2,17.6314155
1470,Oliver Hirschbiegel,2,24.059524500000002
757,Ira Sachs,2,1.5379045
1059,Julian Jarrold,2,12.7416535
1215,Luis Mandoki,2,8.632572
746,Hugh Hudson,2,6.0483329999999995
1060,Julian Schnabel,2,8.645787
1357,Michael Rymer,2,7.2082105
1528,Pete Travis,2,41.2683495
784,Jake Schreier,2,44.014866
1061,Julie Anne Robinson,2,21.289237
