,actor,popularity,rating,ROI,movies count
288,amancaya aguilar,1.781462,6.220317911088893,-96.54216666666666,1
289,amanda bynes,16.6280136,6.24119095506208,267.19525480257823,5
290,amanda crew,19.8535735,6.285630289316594,4.119889952153111,2
291,amanda detmer,9.125594,6.111359463867311,253.13342666666668,1
292,amanda lear,8.884405000000003,6.239325913013179,188.3290982064989,1
293,amanda peet,20.631482916666666,6.095308496190165,138.88041098343493,12
294,amanda plummer,12.0527015,6.362891213808988,11.353775654688874,2
295,amanda redman,11.21273,6.343066496797583,169.63201841398595,1
296,amanda schull,6.961736,6.254092325826788,-4.439305555555555,1
297,amanda seyfried,36.38273491666667,6.241155450696187,275.67518426892656,12
298,amanda tapping,8.591387,6.288794328943308,27.142857142857142,1
299,amanda wyss,38.204158,6.732585314548223,1316.9173888888888,1
300,amara miller,40.903931,6.439246598509344,786.2159250000001,1
301,amaury nolasco,15.21229,6.090353935963861,14.711105,1
302,amber armstrong,47.456823,6.036375845918232,1288938.6666666667,1
303,amber heard,23.214580714285713,6.0764192251533045,50.542615859303616,7
304,amber marie,2.414721,6.187016883850636,193.94717994842551,1
305,amber rose,9.175762,6.1847883949183915,208.1821090909091,1
306,amber tamblyn,34.8192985,6.502277732138855,77.25312199999999,2
307,amber valletta,28.091859499999998,6.168024964903019,150.46775859375,4
